Architectures,Total Params,GFLOPS,Training Time (sec),Test Accuracy,Test F1 Weightet,Test Precision Weighted,Test Recall Weighted
"(10, 3)",193,1.676513947747483e-07 ± 9.18082114957463e-08,3 ± 2,0.542955 ± 0.201786,0.425042 ± 0.25428,0.406153 ± 0.280587,0.542955 ± 0.201786
"(11, 2)",193,2.1386821045837716e-07 ± 1.4764699607736183e-07,3 ± 4,0.426169 ± 0.18043,0.306188 ± 0.258638,0.293672 ± 0.32906,0.426169 ± 0.18043
"(12, 1)",191,2.84849193486094e-07 ± 9.447407978757854e-08,1 ± 1,0.328134 ± 0.012614,0.168286 ± 0.021463,0.133456 ± 0.052816,0.328134 ± 0.012614
"(2, 13)",137,8.123831617776855e-08 ± 3.3068486623192584e-08,3 ± 2,0.605029 ± 0.051571,0.510141 ± 0.050367,0.526266 ± 0.017273,0.605029 ± 0.051571
"(3, 12)",155,1.4151687357345557e-07 ± 5.2530988637567e-08,2 ± 1,0.647139 ± 0.064165,0.557187 ± 0.062443,0.540865 ± 0.092528,0.647139 ± 0.064165
"(4, 11)",171,9.11575619884927e-08 ± 5.242827812236002e-08,4 ± 3,0.660442 ± 0.070866,0.595508 ± 0.113292,0.599409 ± 0.127016,0.660442 ± 0.070866
"(5, 10)",185,1.309677943682243e-07 ± 7.589716594542091e-09,3 ± 0,0.649151 ± 0.035474,0.552902 ± 0.042409,0.56893 ± 0.064568,0.649151 ± 0.035474
"(6, 9)",197,1.4102208714473697e-07 ± 5.8117947973881204e-08,3 ± 2,0.650935 ± 0.08338,0.559563 ± 0.117835,0.591156 ± 0.138911,0.650935 ± 0.08338
"(7, 8)",207,1.318518990171966e-07 ± 1.0148747854794735e-07,4 ± 3,0.716823 ± 0.040743,0.67004 ± 0.043509,0.675844 ± 0.079326,0.716823 ± 0.040743
"(8, 7)",215,1.1204514391132267e-07 ± 8.201199821096531e-08,5 ± 2,0.700123 ± 0.070313,0.650637 ± 0.067704,0.710657 ± 0.043591,0.700123 ± 0.070313
"(9, 6)",221,1.0272184528935305e-07 ± 3.596673600262306e-08,4 ± 1,0.621065 ± 0.133052,0.54082 ± 0.154882,0.565909 ± 0.155259,0.621065 ± 0.133052
"(10, 5)",225,3.2872587802041983e-07 ± 1.2252235624290256e-07,1 ± 1,0.518228 ± 0.081122,0.447303 ± 0.055566,0.573772 ± 0.024908,0.518228 ± 0.081122
"(11, 4)",227,1.0980983027382359e-07 ± 3.927430473005558e-08,4 ± 2,0.556618 ± 0.13737,0.469871 ± 0.134228,0.524468 ± 0.1199,0.556618 ± 0.13737
"(12, 3)",227,2.52183601385073e-07 ± 1.797037299772784e-07,3 ± 4,0.469513 ± 0.257467,0.341295 ± 0.320494,0.301668 ± 0.343622,0.469513 ± 0.257467
"(13, 2)",225,2.483136722000482e-07 ± 2.656706114688314e-08,2 ± 0,0.410627 ± 0.155474,0.254366 ± 0.170566,0.190449 ± 0.151544,0.410627 ± 0.155474
"(14, 1)",221,3.983443821241482e-07 ± 4.923691330397462e-08,1 ± 0,0.324509 ± 0.00317,0.162054 ± 0.007868,0.152889 ± 0.084332,0.324509 ± 0.00317
