Experiment,Total Params,GFLOPS,Epochs,Training Time (sec),Test Accuracy,Test F1 Weightet,Test Precision Weighted,Test Recall Weighted
1,22854437,0.027152451,76,555.0953068733215,0.9989755264655664,0.9989751807530828,0.9989752958781996,0.9989755264655664
2,22854437,0.144318171,80,582.1785292625427,0.999601593625498,0.9996013761898124,0.9996021402434168,0.999601593625498
3,22854437,0.261483891,54,398.7827112674713,0.9983494593056346,0.99834804106077,0.9983490382537346,0.9983494593056346
