Experiment,Total Params,GFLOPS,Epochs,Training Time (sec),Test Accuracy,Test F1 Weightet,Test Precision Weighted,Test Recall Weighted
1,1375525,0.004281027,58,265.1785035133362,0.9997723392145704,0.9997722683163636,0.9997725178070672,0.9997723392145704
2,1375525,0.121446747,79,356.5202169418335,0.9996585088218556,0.9996585922009062,0.9996590912550573,0.9996585088218556
3,1375525,0.238612467,72,323.0448741912842,0.9991462720546386,0.9991463383638444,0.9991464246199939,0.9991462720546386
