Experiment,Total Params,GFLOPS,Epochs,Training Time (sec),Test Accuracy,Test F1 Weightet,Test Precision Weighted,Test Recall Weighted
1,67154757,0.094294296,83,1229.0504591464996,0.9984632896983494,0.9984606334762623,0.9984686313597536,0.9984632896983494
2,67154757,0.211460016,99,1455.13738822937,0.9976664769493456,0.9976588961362228,0.9976851051512686,0.9976664769493456
3,67154757,0.328625736,95,1409.6943295001984,0.9999430848036426,0.9999430832722311,0.9999431075424347,0.9999430848036426
